Type,Paper ID,Oral / Poster,Track Theme,Title,Authors Names,Presenter first name,Presenter last name,Session,Sub-session,Session Time
FIND,333,Not Presenting,,AC-EVAL: Evaluating Ancient Chinese Language Understanding in Large Language Models,"Yuting Wei(~Yuting_Wei2),Yuanxing Xu(~Yuanxing_Xu1),Xinru Wei(~Xinru_Wei1),yangsimin(~yangsimin1),Yangfu Zhu(~Yangfu_Zhu1),Yuqing Li(~Yuqing_Li7),Di Liu(~Di_Liu5),Bin Wu(~Bin_Wu5)",Yuting,Wei,Not Presenting,,
FIND,336,Poster,Information Extraction,MMAR: Multilingual and Multimodal Anaphora Resolution in Instructional Videos,"Cennet Oguz(~Cennet_Oguz1),Pascal Denis(~Pascal_Denis1),Simon Ostermann(~Simon_Ostermann1),Emmanuel Vincent(~Emmanuel_Vincent1),Natalia Skachkova(~Natalia_Skachkova2),Josef van Genabith(~Josef_van_Genabith1)",Cennet,Oguz,Session 12,Information Extraction 2,Nov 14 (Thu) 14:00-15:30
FIND,34,Poster,Resources and Evaluation,DetectBench: Can Large Language Model Detect and Piece Together Implicit Evidence?,"Zhouhong Gu(~Zhouhong_Gu1),Lin Zhang(~Lin_Zhang17),Xiaoxuan Zhu(~Xiaoxuan_Zhu1),Jiangjie Chen(~Jiangjie_Chen1),Wenhao Huang(~Wenhao_Huang2),Yikai Zhang(~Yikai_Zhang6),Shusen Wang(~Shusen_Wang1),Zheyu Ye(~Zheyu_Ye1),Yan Gao(~Yan_Gao10),Hongwei Feng(~Hongwei_Feng1),Yanghua Xiao(~Yanghua_Xiao1)",Lin,Zhang,Session 04,Resources and Evaluation 2,Nov 12 (Tue) 16:00-17:30
FIND,341,Poster,Resources and Evaluation,Coping with Emotion Coping: A Corpus to Model Emotions in Text Based on Role Playing,"Enrica Troiano(~Enrica_Troiano3),Sofie Labat(~Sofie_Labat1),Marco Antonio Stranisci(~Marco_Antonio_Stranisci1),Rossana Damiano(~Rossana_Damiano1),Viviana Patti(~Viviana_Patti1),Roman Klinger(~Roman_Klinger1)",Rossana,Damiano,Session 11,Resources and Evaluation 5,Nov 14 (Thu) 10:30-12:00
FIND,346,Poster,Information Retrieval and Text Mining,MATE: Meet At The Embedding - Connecting Images with Long Texts,"Young Kyun Jang(~Young_Kyun_Jang1),Junmo Kang(~Junmo_Kang1),Yong Jae Lee(~Yong_Jae_Lee2),Donghyun Kim(~Donghyun_Kim2)",Young Kyun,Jang,Session 02,Information Retrieval and Text Mining 1,Nov 12 (Tue) 11:00-12:30
FIND,354,Not Presenting,,Mixed Distillation Helps Smaller Language Models Reason Better,"Li Chenglin(~Li_Chenglin1),Qianglong Chen(~Qianglong_Chen1),Liangyue Li(~Liangyue_Li1),Caiyu Wang(~Caiyu_Wang1),FengTao(~FengTao1),Yicheng Li(~Yicheng_Li3),Zulong Chen(~Zulong_Chen1),Yin Zhang(~Yin_Zhang3)",none,none,Not Presenting,,
FIND,357,Poster,Resources and Evaluation,The SIFo Benchmark: Investigating the Sequential Instruction Following Ability of Large Language Models,"Xinyi Chen(~Xinyi_Chen3),Baohao Liao(~Baohao_Liao1),Jirui Qi(~Jirui_Qi1),Panagiotis Eustratiadis(~Panagiotis_Eustratiadis1),Christof Monz(~Christof_Monz1),Arianna Bisazza(~Arianna_Bisazza1),Maarten de Rijke(~Maarten_de_Rijke1)",Xinyi,Chen,Session 04,Resources and Evaluation 2,Nov 12 (Tue) 16:00-17:30
FIND,358,Not Presenting,,Optimizing Instruction Synthesis: Effective Exploration of Evolutionary Space with Tree Search,"Li Chenglin(~Li_Chenglin1),Qianglong Chen(~Qianglong_Chen1),Zhi Li(~Zhi_Li6),FengTao(~FengTao1),Yicheng Li(~Yicheng_Li3),Hao Chen(~Hao_Chen50),Fei Yu(~Fei_Yu7),Yin Zhang(~Yin_Zhang3)",none,none,Not Presenting,,
FIND,360,Poster,Generation,Suri: Multi-constraint Instruction Following in Long-form Text Generation,"Chau Minh Pham(~Chau_Minh_Pham1),Simeng Sun(~Simeng_Sun2),Mohit Iyyer(~Mohit_Iyyer1)",Chau Minh,Pham,Session 11,Generation 2,Nov 14 (Thu) 10:30-12:00
FIND,361,VPoster,NLP Applications,Augmenting Black-box LLMs with Medical Textbooks for Biomedical Question Answering,"Yubo Wang(~Yubo_Wang9),Xueguang Ma(~Xueguang_Ma1),Wenhu Chen(~Wenhu_Chen3)",Yubo,Wang,VPoster,,
FIND,362,Not Presenting,,"Exploring Multilingual Concepts of Human Values in Large Language Models: Is Value Alignment Consistent, Transferable and Controllable across Languages?","Shaoyang Xu(~Shaoyang_Xu1),Weilong Dong(~Weilong_Dong1),Zishan Guo(~Zishan_Guo1),Xinwei Wu(~Xinwei_Wu1),Deyi Xiong(~Deyi_Xiong2)",TBA,TBA,Not Presenting,,
FIND,364,Not Presenting,,PaCoST: Paired Confidence Significance Testing for Benchmark Contamination Detection in Large Language Models,"Huixuan Zhang(~Huixuan_Zhang1),Yun Lin(~Yun_Lin3),Xiaojun Wan(~Xiaojun_Wan1)",TBA,TBA,Not Presenting,,
FIND,366,Poster,Dialogue and Interactive Systems,UrbanLLM: Autonomous Urban Activity Planning and Management with Large Language Models,"YUE JIANG(~YUE_JIANG4),Qin Chao(~Qin_Chao1),Yile Chen(~Yile_Chen2),Xiucheng Li(~Xiucheng_Li2),SHUAI LIU(~SHUAI_LIU5),Gao Cong(~Gao_Cong1)",Yue,Jiang,Session 09,Dialogue and Interactive Systems 2,Nov 13 (Wed) 16:00-17:30
FIND,368,Poster,Generation,Breaking the Ceiling of the LLM Community by Treating Token Generation as a Classification for Ensembling,"Yao-Ching Yu(~Yao-Ching_Yu1),Chun Chih Kuo(~Chun_Chih_Kuo1),Ye Ziqi(~Ye_Ziqi1),CHANG YUCHENG(~CHANG_YUCHENG1),Yueh-Se Li(~Yueh-Se_Li1)",Yao-Ching,Yu,Session 11,Generation 2,Nov 14 (Thu) 10:30-12:00
FIND,370,Poster,NLP Applications,Eliciting Instruction-tuned Code Language Models' Capabilities to Utilize Auxiliary Function for Code Generation,"Seonghyeon Lee(~Seonghyeon_Lee1),Suyeon Kim(~Suyeon_Kim3),Joonwon Jang(~Joonwon_Jang1),HeeJae Chon(~HeeJae_Chon1),Dongha Lee(~Dongha_Lee1),Hwanjo Yu(~Hwanjo_Yu2)",Seonghyeon,Lee,Session 12,NLP Applications 5,Nov 14 (Thu) 14:00-15:30
FIND,371,Poster,Question Answering,AHP-Powered LLM Reasoning for Multi-Criteria Evaluation of Open-Ended Responses,"Xiaotian Lu(~Xiaotian_Lu1),Jiyi Li(~Jiyi_Li1),Koh Takeuchi(~Koh_Takeuchi1),Hisashi Kashima(~Hisashi_Kashima2)",Xiaotian,Lu,Session 04,Question Answering 1,Nov 12 (Tue) 16:00-17:30
FIND,374,Not Presenting,,Enhancing Fine-Grained Image Classifications via Cascaded Vision Language Models,Canshi Wei(~Canshi_Wei1),Canshi,Wei,Not Presenting,,
FIND,375,Poster,Information Retrieval and Text Mining,Exploring the Best Practices of Query Expansion with Large Language Models,"Le Zhang(~Le_Zhang6),Yihong Wu(~Yihong_Wu6),Qian Yang(~Qian_Yang4),Jian-Yun Nie(~Jian-Yun_Nie1)",Le,Zhang,Session 09,Information Retrieval and Text Mining 3,Nov 13 (Wed) 16:00-17:30
FIND,376,Not Presenting,,Chain-of-Rewrite: Aligning Question and Documents for Open-Domain Question Answering,"Chunlei Xin(~Chunlei_Xin1),Yaojie Lu(~Yaojie_Lu1),Hongyu Lin(~Hongyu_Lin1),Shuheng Zhou(~Shuheng_Zhou4),Huijia Zhu(~Huijia_Zhu1),Weiqiang Wang(~Weiqiang_Wang4),Zhongyi Liu(~Zhongyi_Liu1),Xianpei Han(~Xianpei_Han1),Le Sun(~Le_Sun1)",Chunlei,Xin,Not Presenting,,
FIND,377,Not Presenting,,MGCL: Multi-Granularity Clue Learning for Emotion-Cause Pair Extraction via Cross-Grained Knowledge Distillation,"Yang Yu(~Yang_Yu31),Xin Alex Lin(~Xin_Alex_Lin1),Changqun Li(~Changqun_Li1),Shizhou Huang(~Shizhou_Huang2),Liang He(~Liang_He2)",Yang,Yu,Not Presenting,,
FIND,38,Not Presenting,,Improve Meta-learning for Few-Shot Text Classification with All You Can Acquire from the Tasks,"Xinyue Liu(~Xinyue_Liu4),Yunlong Gao(~Yunlong_Gao1),Linlin Zong(~Linlin_Zong2),Bo Xu(~Bo_Xu8)",Yunlong,Gao,Not Presenting,,
FIND,385,Poster,Resources and Evaluation,Efficient Data Generation for Source-grounded Information-seeking Dialogs: A Use Case for Meeting Transcripts,"Lotem Golany(~Lotem_Golany1),Filippo Galgani(~Filippo_Galgani1),Maya Mamo(~Maya_Mamo1),Nimrod Parasol(~Nimrod_Parasol1),Omer Vandsburger(~Omer_Vandsburger1),Nadav Bar(~Nadav_Bar1),Ido Dagan(~Ido_Dagan1)",Filippo,Galgani,Session 04,Resources and Evaluation 2,Nov 12 (Tue) 16:00-17:30
FIND,387,Poster,Question Answering,Visual Question Decomposition on Multimodal Large Language Models,"Haowei Zhang(~Haowei_Zhang3),Jianzhe Liu(~Jianzhe_Liu1),Zhen Han(~Zhen_Han3),Shuo Chen(~Shuo_Chen12),Bailan He(~Bailan_He1),Volker Tresp(~Volker_Tresp1),zhiqiang xu(~zhiqiang_xu1),Jindong Gu(~Jindong_Gu1)",Haowei,Zhang,Session 09,Question Answering 3,Nov 13 (Wed) 16:00-17:30
FIND,388,Poster,Resources and Evaluation,ProSA: Assessing and Understanding the Prompt Sensitivity of LLMs,"Jingming Zhuo(~Jingming_Zhuo1),Songyang Zhang(~Songyang_Zhang1),Xinyu Fang(~Xinyu_Fang1),Haodong Duan(~Haodong_Duan1),Dahua Lin(~Dahua_Lin1),Kai Chen(~Kai_Chen4)",Jingming,Zhuo,Session 11,Resources and Evaluation 5,Nov 14 (Thu) 10:30-12:00
FIND,392,Poster,Low-resource Methods for NLP,Layerwise Importance Matters: Less Memory for Better Performance in Parameter-efficient Fine-tuning of Large Language Models,"Kai Yao(~Kai_Yao1),Penglei Gao(~Penglei_Gao1),Lichun Li(~Lichun_Li1),Yuan Zhao(~Yuan_Zhao12),Xiaofeng Wang(~Xiaofeng_Wang7),Wei Wang(~Wei_Wang108),Jianke Zhu(~Jianke_Zhu1)",Kai,Yao,Session 06,Low-resource Methods for NLP 2,Nov 13 (Wed) 10:30-12:00
FIND,395,Not Presenting,,Abstraction-of-Thought Makes Language Models Better Reasoners,"Ruixin Hong(~Ruixin_Hong2),Hongming Zhang(~Hongming_Zhang2),Xiaoman Pan(~Xiaoman_Pan2),Dong Yu(~Dong_Yu2),Changshui Zhang(~Changshui_Zhang2)",ruixin,hong,Not Presenting,,
FIND,402,Not Presenting,,LLMs Cannot (Yet) Match the Specificity and Simplicity of Online Communities in Long Form Question Answering,"Kris-Fillip Kahl(~Kris-Fillip_Kahl1),Tolga Buz(~Tolga_Buz1),Russa Biswas(~Russa_Biswas1),Gerard de Melo(~Gerard_de_Melo3)",Tolga,Buz,Not Presenting,,
FIND,409,Poster,Computational Social Science and Cultural Analytics,Automated Tone Transcription and Clustering with Tone2Vec,"Yi Yang(~Yi_Yang27),Yiming Wang(~Yiming_Wang20),ZhiQiang Tang(~ZhiQiang_Tang3),Jiahong Yuan(~Jiahong_Yuan1)",Yi ,Yang,Session 12,Computational Social Science and Cultural Analytics 4,Nov 14 (Thu) 14:00-15:30
FIND,41,VPoster,Question Answering,CoTAR: Chain-of-Thought Attribution Reasoning with Multi-level Granularity,"Moshe Berchansky(~Moshe_Berchansky1),Daniel Fleischer(~Daniel_Fleischer1),Moshe Wasserblat(~Moshe_Wasserblat1),Peter Izsak(~Peter_Izsak1)",Moshe,Berchansky,VPoster,,
FIND,420,Poster,Dialogue and Interactive Systems,Multi-dimensional Evaluation of Empathetic Dialogue Responses,"Zhichao Xu(~Zhichao_Xu1),Jiepu Jiang(~Jiepu_Jiang2)",Zhichao,Xu,Session 09,Dialogue and Interactive Systems 2,Nov 13 (Wed) 16:00-17:30
FIND,423,Poster,NLP Applications,Translation of Multifaceted Data without Re-Training of Machine Translation Systems,"Hyeonseok Moon(~Hyeonseok_Moon1),Seungyoon Lee(~Seungyoon_Lee2),SeongTae Hong(~SeongTae_Hong1),Seungjun Lee(~Seungjun_Lee2),Chanjun Park(~Chanjun_Park1),Heuiseok Lim(~Heuiseok_Lim1)",Hyeonseok,Moon,Session 12,NLP Applications 5,Nov 14 (Thu) 14:00-15:30
FIND,424,Poster,Language Modeling,Offline RLHF Methods Need More Accurate Supervision Signals,"Shiqi Wang(~Shiqi_Wang4),Zhengze Zhang(~Zhengze_Zhang1),Rui Zhao(~Rui_Zhao6),Fei Tan(~Fei_Tan1),Nguyen Cam-Tu(~Nguyen_Cam-Tu2)",Shiqi,Wang,Session 03,Language Modeling 2,Nov 12 (Tue) 14:00-15:30
FIND,426,Not Presenting,,AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50000+ Interaction Trajectories,"Yifan Song(~Yifan_Song2),Weimin Xiong(~Weimin_Xiong1),Xiutian Zhao(~Xiutian_Zhao1),Dawei Zhu(~Dawei_Zhu2),Wenhao Wu(~Wenhao_Wu7),Ke Wang(~Ke_Wang2),Cheng LI(~Cheng_LI12),Wei Peng(~Wei_Peng6),Sujian Li(~Sujian_Li1)",TBA,TBA,Not Presenting,,
